timestamp,service,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-08-19T04:02:25.6504102+00:00,cortex-backend-1,0.31%,11.24MiB / 2GiB,0.55%,2.08MB / 8.75MB,430kB / 0B,8
2026-08-19T04:02:25.6504102+00:00,cortex-reranker-service-1,0.35%,1.298GiB / 7.605GiB,17.07%,2.76kB / 126B,2.19GB / 4.1kB,48
2026-08-19T04:02:25.6504102+00:00,cortex-embedding-service-1,0.27%,475.3MiB / 3GiB,15.47%,2.8kB / 126B,182MB / 4.1kB,52
2026-08-19T04:02:25.6504102+00:00,cortex-frontend-1,0.00%,16.29MiB / 7.605GiB,0.21%,5.16kB / 126B,3.22MB / 307kB,21
2026-08-19T04:02:25.6504102+00:00,cortex-llm-gateway-1,11.32%,383.1MiB / 7.605GiB,4.92%,147kB / 46kB,168MB / 156kB,28
2026-08-19T04:02:25.6504102+00:00,cortex-redis-1,0.84%,24.61MiB / 7.605GiB,0.32%,204MB / 46.7MB,497MB / 233MB,8
2026-08-19T04:02:25.6504102+00:00,cortex-db-1,0.57%,892.9MiB / 7.605GiB,11.47%,112MB / 73.7MB,1.03GB / 12.7GB,13
2026-08-19T04:02:30.5014412+00:00,cortex-backend-1,0.33%,11.25MiB / 2GiB,0.55%,2.08MB / 8.76MB,430kB / 0B,8
2026-08-19T04:02:30.5014412+00:00,cortex-reranker-service-1,0.38%,1.299GiB / 7.605GiB,17.08%,2.76kB / 126B,2.19GB / 4.1kB,48
2026-08-19T04:02:30.5014412+00:00,cortex-embedding-service-1,0.23%,475.3MiB / 3GiB,15.47%,2.8kB / 126B,182MB / 4.1kB,52
2026-08-19T04:02:30.5014412+00:00,cortex-frontend-1,0.00%,16.29MiB / 7.605GiB,0.21%,5.16kB / 126B,3.22MB / 307kB,21
2026-08-19T04:02:30.5014412+00:00,cortex-llm-gateway-1,0.22%,383MiB / 7.605GiB,4.92%,147kB / 46kB,168MB / 156kB,28
2026-08-19T04:02:30.5014412+00:00,cortex-redis-1,0.88%,24.61MiB / 7.605GiB,0.32%,204MB / 46.7MB,497MB / 233MB,8
