timestamp,service,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-08-19T02:37:43.9058812+00:00,cortex-backend-1,3.91%,11.38MiB / 2GiB,0.56%,4.71MB / 21.7MB,573kB / 0B,8
2026-08-19T02:37:43.9058812+00:00,cortex-embedding-service-1,0.18%,596.2MiB / 3GiB,19.41%,2.8kB / 126B,389MB / 4.1kB,52
2026-08-19T02:37:43.9058812+00:00,cortex-reranker-service-1,0.80%,1.245GiB / 7.605GiB,16.37%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:37:43.9058812+00:00,cortex-frontend-1,0.00%,16.27MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:37:43.9058812+00:00,cortex-llm-gateway-1,0.18%,469.2MiB / 7.605GiB,6.03%,126kB / 15.7kB,269MB / 4.1kB,28
2026-08-19T02:37:43.9058812+00:00,cortex-redis-1,0.67%,27.27MiB / 7.605GiB,0.35%,21.4MB / 2.58MB,492MB / 35.8MB,8
2026-08-19T02:37:43.9058812+00:00,cortex-db-1,21.15%,671.1MiB / 7.605GiB,8.62%,483kB / 2.27MB,668MB / 1.71GB,12
2026-08-19T02:37:48.8797717+00:00,cortex-backend-1,57.47%,121MiB / 2GiB,5.91%,9.16MB / 31.7MB,1.21MB / 0B,10
2026-08-19T02:37:48.8797717+00:00,cortex-embedding-service-1,0.23%,591MiB / 3GiB,19.24%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:37:48.8797717+00:00,cortex-reranker-service-1,0.30%,1.231GiB / 7.605GiB,16.19%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:37:48.8797717+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:37:48.8797717+00:00,cortex-llm-gateway-1,0.20%,468.6MiB / 7.605GiB,6.02%,126kB / 15.7kB,269MB / 49.2kB,28
2026-08-19T02:37:48.8797717+00:00,cortex-redis-1,11.40%,33.25MiB / 7.605GiB,0.43%,29.8MB / 4.94MB,492MB / 38.4MB,8
2026-08-19T02:37:48.8797717+00:00,cortex-db-1,75.37%,707.2MiB / 7.605GiB,9.08%,1.91MB / 3.25MB,677MB / 1.73GB,31
2026-08-19T02:37:53.6630270+00:00,cortex-backend-1,70.63%,127.1MiB / 2GiB,6.21%,11.1MB / 35MB,1.8MB / 0B,10
2026-08-19T02:37:53.6630270+00:00,cortex-embedding-service-1,0.23%,590.3MiB / 3GiB,19.22%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:37:53.6630270+00:00,cortex-reranker-service-1,0.31%,1.23GiB / 7.605GiB,16.18%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:37:53.6630270+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:37:53.6630270+00:00,cortex-llm-gateway-1,0.21%,468.1MiB / 7.605GiB,6.01%,126kB / 15.7kB,269MB / 49.2kB,28
2026-08-19T02:37:53.6630270+00:00,cortex-redis-1,16.40%,33.52MiB / 7.605GiB,0.43%,30.5MB / 5.2MB,492MB / 38.6MB,8
