timestamp,service,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-08-19T03:24:38.3124393+00:00,cortex-backend-1,188.93%,137.3MiB / 2GiB,6.71%,10.3MB / 27MB,717kB / 0B,9
2026-08-19T03:24:38.3124393+00:00,cortex-reranker-service-1,0.26%,1.325GiB / 7.605GiB,17.42%,1.59kB / 126B,2.18GB / 4.1kB,48
2026-08-19T03:24:38.3124393+00:00,cortex-embedding-service-1,0.16%,479.1MiB / 3GiB,15.60%,1.63kB / 126B,180MB / 4.1kB,52
2026-08-19T03:24:38.3124393+00:00,cortex-frontend-1,0.00%,16.47MiB / 7.605GiB,0.21%,3.98kB / 126B,3.22MB / 106kB,21
2026-08-19T03:24:38.3124393+00:00,cortex-llm-gateway-1,0.16%,383.8MiB / 7.605GiB,4.93%,131kB / 23.5kB,168MB / 0B,28
2026-08-19T03:24:38.3124393+00:00,cortex-redis-1,79.87%,34.3MiB / 7.605GiB,0.44%,158MB / 35.8MB,496MB / 174MB,8
2026-08-19T03:24:38.3124393+00:00,cortex-db-1,314.47%,924.9MiB / 7.605GiB,11.88%,76.2MB / 51.7MB,1.01GB / 7.8GB,59
2026-08-19T03:24:43.3581811+00:00,cortex-backend-1,201.05%,151.7MiB / 2GiB,7.40%,25.9MB / 61.7MB,1.2MB / 0B,9
2026-08-19T03:24:43.3581811+00:00,cortex-reranker-service-1,29.80%,1.316GiB / 7.605GiB,17.31%,1.59kB / 126B,2.19GB / 4.1kB,48
2026-08-19T03:24:43.3581811+00:00,cortex-embedding-service-1,0.16%,477.7MiB / 3GiB,15.55%,1.63kB / 126B,180MB / 4.1kB,52
2026-08-19T03:24:43.3581811+00:00,cortex-frontend-1,0.00%,16.43MiB / 7.605GiB,0.21%,3.98kB / 126B,3.22MB / 160kB,21
2026-08-19T03:24:43.3581811+00:00,cortex-llm-gateway-1,17.24%,383.4MiB / 7.605GiB,4.92%,131kB / 23.5kB,168MB / 0B,28
2026-08-19T03:24:43.3581811+00:00,cortex-redis-1,64.08%,32.36MiB / 7.605GiB,0.42%,173MB / 39.9MB,496MB / 179MB,8
2026-08-19T03:24:43.3581811+00:00,cortex-db-1,251.64%,916.4MiB / 7.605GiB,11.77%,91.6MB / 60.9MB,1.01GB / 7.85GB,59
2026-08-19T03:24:48.1086402+00:00,cortex-backend-1,198.25%,152.1MiB / 2GiB,7.43%,31MB / 73.6MB,1.2MB / 0B,9
2026-08-19T03:24:48.1086402+00:00,cortex-reranker-service-1,0.23%,1.315GiB / 7.605GiB,17.29%,1.59kB / 126B,2.19GB / 4.1kB,48
2026-08-19T03:24:48.1086402+00:00,cortex-embedding-service-1,4.64%,478MiB / 3GiB,15.56%,1.63kB / 126B,181MB / 4.1kB,52
2026-08-19T03:24:48.1086402+00:00,cortex-frontend-1,0.00%,16.42MiB / 7.605GiB,0.21%,3.98kB / 126B,3.22MB / 168kB,21
2026-08-19T03:24:48.1086402+00:00,cortex-llm-gateway-1,0.14%,383.3MiB / 7.605GiB,4.92%,131kB / 23.5kB,168MB / 0B,28
2026-08-19T03:24:48.1086402+00:00,cortex-redis-1,29.05%,31.43MiB / 7.605GiB,0.40%,183MB / 42.6MB,496MB / 191MB,8
2026-08-19T03:24:48.1086402+00:00,cortex-db-1,206.26%,927.8MiB / 7.605GiB,11.91%,98.2MB / 64.8MB,1.02GB / 7.87GB,60
2026-08-19T03:24:52.7871909+00:00,cortex-backend-1,191.50%,152.7MiB / 2GiB,7.46%,39MB / 92.3MB,1.2MB / 4.1kB,9
2026-08-19T03:24:52.7871909+00:00,cortex-reranker-service-1,0.23%,1.312GiB / 7.605GiB,17.25%,1.59kB / 126B,2.19GB / 4.1kB,48
2026-08-19T03:24:52.7871909+00:00,cortex-embedding-service-1,0.17%,477.6MiB / 3GiB,15.55%,1.63kB / 126B,182MB / 4.1kB,52
2026-08-19T03:24:52.7871909+00:00,cortex-frontend-1,0.00%,16.4MiB / 7.605GiB,0.21%,3.98kB / 126B,3.22MB / 193kB,21
2026-08-19T03:24:52.7871909+00:00,cortex-llm-gateway-1,7.58%,389.8MiB / 7.605GiB,5.01%,131kB / 23.5kB,168MB / 0B,29
2026-08-19T03:24:52.7871909+00:00,cortex-redis-1,22.24%,35.5MiB / 7.605GiB,0.46%,191MB / 44.7MB,496MB / 194MB,8
2026-08-19T03:24:52.7871909+00:00,cortex-db-1,71.17%,914.6MiB / 7.605GiB,11.75%,103MB / 67.6MB,1.02GB / 7.89GB,59
